iter	MultiClass	Accuracy
301	0.2420427045	0.909887798
302	0.2417696346	0.9104137447
303	0.2416050195	0.9097124825
304	0.2413216442	0.9100631136
305	0.2411001314	0.909887798
306	0.2408670944	0.9095371669
307	0.2407071821	0.9104137447
308	0.2404133597	0.9105890603
309	0.2401698718	0.9100631136
310	0.2399068371	0.9105890603
311	0.2396093471	0.9105890603
312	0.2394056245	0.9107643759
313	0.2391212194	0.9104137447
314	0.2389568999	0.9102384292
315	0.238732936	0.9102384292
316	0.2384894898	0.9104137447
317	0.2382033235	0.9109396914
318	0.238028384	0.911115007
319	0.2376696442	0.9109396914
320	0.2373634272	0.9116409537
321	0.2372113871	0.9116409537
322	0.2369865682	0.9114656381
323	0.2367615059	0.9118162693
324	0.2365304221	0.9119915849
325	0.2362622642	0.9114656381
326	0.2360813003	0.9107643759
327	0.2358885592	0.9109396914
328	0.2356814221	0.9114656381
329	0.2354879716	0.9116409537
330	0.2352762922	0.9116409537
331	0.2351413488	0.9118162693
332	0.234920261	0.9119915849
333	0.2347463323	0.9121669004
334	0.2344908483	0.9125175316
335	0.2342283262	0.9126928471
336	0.2340668015	0.9126928471
337	0.233943394	0.9130434783
338	0.2336902645	0.913569425
339	0.2333844192	0.9133941094
340	0.2331547354	0.9132187938
341	0.2329104581	0.9130434783
342	0.232631549	0.913569425
343	0.2324376578	0.9139200561
344	0.2322147121	0.9137447405
345	0.2320424787	0.9137447405
346	0.2318461371	0.9140953717
347	0.2317026067	0.9142706872
348	0.231474797	0.9147966339
349	0.2312704604	0.9149719495
350	0.2311680468	0.9149719495
351	0.230938098	0.9153225806
352	0.2308000798	0.9154978962
353	0.2305884814	0.9156732118
354	0.2302535643	0.9156732118
355	0.2300332103	0.9153225806
356	0.2298367548	0.9153225806
357	0.2296848591	0.9153225806
358	0.2294778347	0.9147966339
359	0.2292072106	0.9149719495
360	0.2289659642	0.9149719495
361	0.2288055307	0.9151472651
362	0.2284502962	0.9151472651
363	0.2282825923	0.9154978962
364	0.2280497494	0.9153225806
365	0.2277782258	0.9153225806
366	0.2275887123	0.9161991585
367	0.2273537301	0.9163744741
368	0.227143987	0.9161991585
369	0.2269793857	0.9163744741
370	0.2268054506	0.9165497896
371	0.2265283533	0.9170757363
372	0.2261921542	0.9177769986
373	0.225979159	0.9181276297
374	0.2258367914	0.9181276297
375	0.2255886383	0.9186535764
376	0.2252919382	0.9184782609
377	0.2251450306	0.9181276297
378	0.2250169458	0.9184782609
379	0.2248663554	0.9186535764
380	0.2246484123	0.9184782609
381	0.2244093782	0.9184782609
382	0.2242982957	0.9184782609
383	0.2240037476	0.9183029453
384	0.223756593	0.9184782609
385	0.2235579582	0.9181276297
386	0.223433571	0.9183029453
387	0.2232053428	0.918828892
388	0.2230775503	0.9184782609
389	0.2228811485	0.9183029453
390	0.222673514	0.9184782609
391	0.2225361506	0.9184782609
392	0.2223236597	0.9186535764
393	0.2221127607	0.9195301543
394	0.2218499695	0.9195301543
395	0.2216802339	0.9193548387
396	0.2215297823	0.9197054698
397	0.2212731614	0.9195301543
398	0.2210336018	0.9197054698
399	0.2207420945	0.9197054698
400	0.220493083	0.9207573633
401	0.2202343758	0.9211079944
402	0.2199858773	0.92128331
403	0.2198308265	0.9211079944
404	0.2196092324	0.9214586255
405	0.2193991388	0.9214586255
406	0.219232608	0.9221598878
407	0.2190640445	0.9221598878
408	0.2188519784	0.9219845722
409	0.2186562514	0.9216339411
410	0.21850883	0.9218092567
411	0.2182826733	0.9219845722
412	0.2179223671	0.9225105189
413	0.2177694333	0.9228611501
414	0.2175855229	0.9226858345
415	0.2173940929	0.9225105189
416	0.217133336	0.9226858345
417	0.2169489216	0.9225105189
418	0.2167312533	0.9226858345
419	0.2165404635	0.9228611501
420	0.2164243076	0.9228611501
421	0.2162644333	0.9230364656
422	0.2160880971	0.9232117812
423	0.215992472	0.9230364656
424	0.2158583783	0.9232117812
425	0.2156355913	0.9232117812
426	0.215493409	0.9230364656
427	0.2152750623	0.9233870968
428	0.2151703955	0.9239130435
429	0.2150095446	0.9247896213
430	0.2149026703	0.9244389902
431	0.2147060098	0.9249649369
432	0.2144925019	0.9242636746
433	0.2143071932	0.9251402525
434	0.2139802973	0.925315568
435	0.2137454771	0.9251402525
436	0.2136336237	0.925315568
437	0.2135350495	0.9251402525
438	0.2132202227	0.9254908836
439	0.2130712789	0.9254908836
440	0.2129369236	0.9256661992
441	0.2127878382	0.9258415147
442	0.2126498168	0.9260168303
443	0.2124173366	0.9260168303
444	0.2122946752	0.9260168303
445	0.2121202327	0.9263674614
446	0.2119553502	0.9263674614
447	0.2118142099	0.926542777
448	0.211646691	0.9268934081
449	0.2114511093	0.9267180926
450	0.2113855598	0.9267180926
451	0.2112171053	0.9267180926
452	0.21102099	0.9268934081
453	0.2108832291	0.9272440393
454	0.2106918627	0.927769986
455	0.2105620902	0.9281206171
456	0.2102481279	0.927769986
457	0.2100361609	0.9275946704
458	0.20989149	0.9274193548
459	0.209768881	0.9268934081
460	0.2096486507	0.9272440393
461	0.2094531272	0.9270687237
462	0.2092297553	0.9267180926
463	0.2090733239	0.9267180926
464	0.2089322046	0.9268934081
465	0.2087119655	0.9275946704
466	0.2085341368	0.9270687237
467	0.2082985164	0.927769986
468	0.2081659451	0.9282959327
469	0.2080051947	0.9282959327
470	0.2077584815	0.9288218794
471	0.2076243015	0.9286465638
472	0.2074276438	0.9291725105
473	0.2072259657	0.9293478261
474	0.2070763065	0.9298737728
475	0.2069528098	0.9293478261
476	0.2067970096	0.9293478261
477	0.2066902823	0.9293478261
478	0.2065212008	0.928997195
479	0.2063407869	0.9291725105
480	0.2061988646	0.9291725105
481	0.2060998936	0.9293478261
482	0.205946782	0.9295231417
483	0.2057126576	0.9298737728
484	0.205454861	0.9302244039
485	0.2053102793	0.9296984572
486	0.2051810362	0.9298737728
487	0.2049334958	0.9298737728
488	0.2048187504	0.9300490884
489	0.204705629	0.9302244039
490	0.2045783973	0.9302244039
491	0.204435214	0.9303997195
492	0.2042964901	0.9305750351
493	0.2041428178	0.9303997195
494	0.2040023608	0.9309256662
495	0.2038473588	0.9312762973
496	0.2037472378	0.9309256662
497	0.203562937	0.9316269285
498	0.2034814146	0.9311009818
499	0.2032768146	0.9307503506
500	0.2031533015	0.9305750351
501	0.2030416494	0.9307503506
502	0.2028991624	0.9307503506
503	0.2027943605	0.9305750351
504	0.2026859695	0.9312762973
505	0.2025612542	0.9312762973
506	0.2024166174	0.9316269285
507	0.2022103177	0.9316269285
508	0.2019183101	0.9319775596
509	0.2016839789	0.931802244
510	0.2015569633	0.9319775596
511	0.201445896	0.9323281907
512	0.2013259465	0.9323281907
513	0.201268928	0.9323281907
514	0.2011668815	0.9323281907
515	0.2009931604	0.9323281907
516	0.2008351418	0.9328541374
517	0.2007190467	0.933029453
518	0.2005554269	0.9339060309
519	0.2003511568	0.9340813464
520	0.2001616679	0.9335553997
521	0.2000440904	0.9333800842
522	0.1999100846	0.9337307153
523	0.1997750056	0.9333800842
524	0.1996576617	0.9335553997
525	0.1994657983	0.9340813464
526	0.199320905	0.9340813464
527	0.1992193807	0.9344319776
528	0.1991375987	0.934256662
529	0.1990261599	0.9340813464
530	0.198854034	0.9344319776
531	0.1987460954	0.934256662
532	0.1985369112	0.9346072931
533	0.1984265948	0.9347826087
534	0.1982729466	0.934256662
535	0.1980751685	0.934256662
536	0.197858427	0.9344319776
537	0.1977512013	0.9344319776
538	0.1975437024	0.9344319776
539	0.1974176433	0.9346072931
540	0.1972562785	0.9347826087
541	0.1970760622	0.9349579243
542	0.1969639149	0.9351332398
543	0.1968041844	0.9349579243
544	0.1966537572	0.9344319776
545	0.1965579645	0.9344319776
546	0.1963838031	0.9349579243
547	0.1962500899	0.9349579243
548	0.196085156	0.9347826087
549	0.1959941903	0.9347826087
550	0.1956850445	0.9349579243
551	0.1955905405	0.9351332398
552	0.1955041376	0.935483871
553	0.1954189017	0.9353085554
554	0.1952518814	0.935483871
555	0.1950998691	0.935483871
556	0.1950049291	0.9356591865
557	0.1949036004	0.9351332398
558	0.1947168745	0.9344319776
559	0.1946359749	0.9346072931
560	0.1945376219	0.9347826087
561	0.1943371996	0.9347826087
562	0.1942691765	0.9347826087
563	0.1941497047	0.9347826087
564	0.194049787	0.9349579243
565	0.1938170488	0.9351332398
566	0.1936755545	0.9356591865
567	0.1935123394	0.9360098177
568	0.1933823534	0.935483871
569	0.1932228667	0.9360098177
570	0.1930820232	0.9358345021
571	0.1928702074	0.9363604488
572	0.1927340691	0.9363604488
573	0.1925915056	0.9361851332
574	0.1924171586	0.9363604488
575	0.1922841215	0.9361851332
576	0.1922073239	0.9361851332
577	0.1920303227	0.9365357644
578	0.1918448924	0.9356591865
579	0.1917475712	0.935483871
580	0.191677659	0.9361851332
581	0.191590928	0.9363604488
582	0.191475445	0.9363604488
583	0.1912485922	0.9363604488
584	0.1910918157	0.9365357644
585	0.1909317633	0.9365357644
586	0.1907919993	0.9367110799
587	0.190652202	0.9368863955
588	0.1904666791	0.9372370266
589	0.190308324	0.9370617111
590	0.1902276544	0.9370617111
591	0.1900995975	0.9368863955
592	0.189958799	0.9375876578
593	0.1898047541	0.9372370266
594	0.1897073914	0.9374123422
595	0.1895667631	0.9375876578
596	0.1894117984	0.9379382889
597	0.1892378483	0.9375876578
598	0.1891178961	0.9375876578
599	0.1890278226	0.9372370266
600	0.1888426529	0.9375876578
601	0.1886800326	0.9375876578
602	0.1884978918	0.9381136045
603	0.1883621437	0.9377629734
604	0.18821777	0.9379382889
605	0.1880986703	0.9382889201
606	0.1878580829	0.9386395512
607	0.1877790049	0.9388148668
608	0.1876550008	0.9389901823
609	0.1875306894	0.9391654979
610	0.1874614263	0.9391654979
611	0.1873900261	0.9391654979
612	0.1872602556	0.9389901823
613	0.1871422903	0.9388148668
614	0.1869924278	0.9391654979
615	0.1868986509	0.9391654979
616	0.1867354619	0.9391654979
617	0.1865699298	0.9396914446
618	0.1864187626	0.9396914446
619	0.186281094	0.9398667602
620	0.1860984813	0.9402173913
621	0.1859443122	0.9402173913
622	0.1857305852	0.9405680224
623	0.185591971	0.940743338
624	0.1854601433	0.9405680224
625	0.1853292319	0.9402173913
626	0.1852299858	0.9403927069
627	0.1851157362	0.9403927069
628	0.1849767245	0.9403927069
629	0.1848935999	0.9405680224
630	0.1847175459	0.9403927069
631	0.1845187662	0.9405680224
632	0.1842875093	0.940743338
633	0.1841886274	0.940743338
634	0.1840794262	0.9405680224
635	0.1840184576	0.9405680224
636	0.1838909856	0.9405680224
637	0.1837268764	0.9405680224
638	0.1835171621	0.9405680224
639	0.1833913431	0.9405680224
640	0.1833034655	0.9409186536
641	0.1832274003	0.9410939691
642	0.1831330175	0.9412692847
643	0.183026264	0.9410939691
644	0.1828971319	0.9412692847
645	0.1827661049	0.9414446003
646	0.1826881995	0.9412692847
647	0.1825935367	0.9414446003
648	0.182435599	0.9417952314
649	0.1823048139	0.9416199158
650	0.1822297149	0.9417952314
651	0.1821556111	0.9417952314
652	0.1820471395	0.941970547
653	0.1819135564	0.9417952314
654	0.1817594257	0.9421458626
655	0.1816397663	0.9421458626
656	0.1815470294	0.9423211781
657	0.1814392583	0.9426718093
658	0.1813804943	0.9426718093
659	0.1812807728	0.9424964937
660	0.1812000736	0.9424964937
661	0.1810960046	0.9426718093
662	0.1810117246	0.9430224404
663	0.1809307343	0.9430224404
664	0.1808186082	0.9430224404
665	0.1806327595	0.943197756
666	0.1804702761	0.9430224404
667	0.1803888234	0.943197756
668	0.1801926902	0.9433730715
669	0.1800250322	0.9430224404
670	0.1798717886	0.9428471248
671	0.1797941112	0.9433730715
672	0.1795142186	0.9430224404
673	0.1793810784	0.9433730715
674	0.179319925	0.9433730715
675	0.1792366474	0.943197756
676	0.1790998214	0.9435483871
677	0.1790225452	0.943197756
678	0.1789062117	0.9437237027
679	0.178806984	0.9433730715
680	0.1786540043	0.9435483871
681	0.1785056278	0.9438990182
682	0.1784084259	0.9433730715
683	0.1783166376	0.9437237027
684	0.1781693402	0.9435483871
685	0.1780398227	0.9438990182
686	0.1779459807	0.9438990182
687	0.1777952274	0.9437237027
688	0.1776491149	0.943197756
689	0.1775343548	0.9438990182
690	0.177377225	0.9438990182
691	0.1772538356	0.9438990182
692	0.1771315499	0.9437237027
693	0.1769927003	0.9437237027
694	0.1768466427	0.9435483871
695	0.1767648588	0.9437237027
696	0.1766940267	0.9438990182
697	0.1765897766	0.9446002805
698	0.1764400821	0.9442496494
699	0.1763541908	0.9447755961
700	0.1762904265	0.9451262272
701	0.1761953083	0.9453015428
702	0.1759708985	0.9453015428
703	0.1758798216	0.9453015428
704	0.175817001	0.9453015428
705	0.1757160156	0.9454768583
706	0.1755575217	0.9456521739
707	0.1754418995	0.9456521739
708	0.1753175765	0.9449509116
709	0.1752237031	0.9451262272
710	0.1751252506	0.9453015428
711	0.1750711383	0.9451262272
712	0.1749752251	0.9454768583
713	0.1749218622	0.9454768583
714	0.1748113196	0.9456521739
715	0.1746610132	0.9454768583
716	0.1745866211	0.9454768583
717	0.1745034453	0.9456521739
718	0.1744160351	0.9458274895
719	0.1742807891	0.9458274895
720	0.1741695629	0.946002805
721	0.1740435388	0.9461781206
722	0.1738882489	0.9461781206
723	0.1738097934	0.946002805
724	0.1737049314	0.946002805
725	0.1736153879	0.9461781206
726	0.1733802593	0.9463534362
727	0.1733075955	0.9465287518
728	0.1731105103	0.9463534362
729	0.1730084218	0.9465287518
730	0.1728421288	0.9465287518
731	0.1727825655	0.9463534362
732	0.1727165081	0.9465287518
733	0.1726215339	0.9465287518
734	0.172501665	0.9465287518
735	0.1722967927	0.9465287518
736	0.1722349455	0.9465287518
737	0.1721446378	0.9463534362
738	0.1720366573	0.9463534362
739	0.1718059555	0.9468793829
740	0.171710983	0.947230014
741	0.1715940477	0.947230014
742	0.1714922527	0.947230014
743	0.1714045267	0.947230014
744	0.1713441929	0.947230014
745	0.1712389042	0.947230014
746	0.1711297714	0.947230014
747	0.1710469415	0.947230014
748	0.1709764915	0.9474053296
749	0.1709230957	0.947230014
750	0.1708277487	0.9474053296
751	0.1707631818	0.947230014
752	0.1707026236	0.9474053296
753	0.1706088759	0.9474053296
754	0.1705157472	0.947230014
755	0.1703872442	0.9470546985
756	0.1702609535	0.9474053296
757	0.1702014986	0.947230014
758	0.1701190395	0.9474053296
759	0.1699261458	0.9477559607
760	0.1698144697	0.9475806452
761	0.1696777292	0.9475806452
762	0.1695843365	0.9475806452
763	0.1695079789	0.9479312763
764	0.1693990601	0.9479312763
765	0.1692807064	0.9479312763
766	0.1691856762	0.9481065919
767	0.1691093648	0.9482819074
768	0.169038304	0.9482819074
769	0.168955645	0.948457223
770	0.1688493069	0.9481065919
771	0.168759852	0.9486325386
772	0.1686268534	0.9486325386
773	0.1684717028	0.9488078541
774	0.1684124938	0.9489831697
775	0.1683146969	0.9488078541
776	0.1682567903	0.9489831697
777	0.1681237268	0.9486325386
778	0.1680716794	0.9486325386
779	0.1680094816	0.9488078541
780	0.1678519617	0.9488078541
781	0.1676708037	0.9486325386
782	0.1676041423	0.9486325386
783	0.1674894887	0.9489831697
784	0.1674265253	0.9489831697
785	0.1673203418	0.9488078541
786	0.1672456546	0.9486325386
787	0.1671385437	0.9486325386
788	0.166905254	0.9486325386
789	0.166810511	0.9489831697
790	0.1667204805	0.9493338008
791	0.1666010551	0.9495091164
792	0.1664894204	0.9495091164
793	0.1663903211	0.9495091164
794	0.1663367336	0.9495091164
795	0.1662618797	0.9491584853
796	0.1662052457	0.9491584853
797	0.1660696264	0.9491584853
798	0.1659875097	0.9495091164
799	0.1658786347	0.9495091164
800	0.1657793056	0.9495091164
801	0.1656733627	0.9495091164
802	0.1656244084	0.9495091164
803	0.1655012821	0.9495091164
804	0.1654050562	0.9495091164
805	0.1653253728	0.949684432
806	0.1652618777	0.949684432
807	0.1651507499	0.949684432
808	0.1650690029	0.9495091164
809	0.1649419171	0.9495091164
810	0.1648691434	0.949684432
811	0.1647698133	0.949684432
812	0.1646678328	0.949684432
813	0.1645629596	0.9498597475
814	0.1644778375	0.9498597475
815	0.164400027	0.949684432
816	0.164355788	0.949684432
817	0.1643022848	0.949684432
818	0.1642182776	0.9498597475
819	0.1641359006	0.9498597475
820	0.1640240801	0.9498597475
821	0.163790801	0.9502103787
822	0.1637042516	0.9502103787
823	0.1636002036	0.9503856942
824	0.1634979733	0.9502103787
825	0.1633509685	0.9505610098
826	0.1632588558	0.9503856942
827	0.1631997634	0.9503856942
828	0.1631115857	0.9503856942
829	0.1629562013	0.9502103787
830	0.1628730793	0.9503856942
831	0.1626975518	0.9502103787
832	0.1626311598	0.9502103787
833	0.1625330021	0.9505610098
834	0.1624811765	0.9505610098
835	0.1624242485	0.9505610098
836	0.1623716481	0.9505610098
837	0.1623106348	0.9505610098
838	0.1621537522	0.9503856942
839	0.1620584781	0.9505610098
840	0.1619896305	0.9505610098
841	0.1618599135	0.9507363254
842	0.1617893918	0.9507363254
843	0.1617036112	0.9505610098
844	0.1615338319	0.9507363254
845	0.1614441084	0.9503856942
846	0.1613084932	0.9503856942
847	0.1612603492	0.9503856942
848	0.1611824001	0.9505610098
849	0.1611064581	0.9505610098
850	0.1609506654	0.9505610098
851	0.1608297876	0.9507363254
852	0.1607255406	0.9505610098
853	0.1606281573	0.9503856942
854	0.1605296697	0.9503856942
855	0.160482306	0.9505610098
856	0.1603919821	0.9505610098
857	0.1602371649	0.9503856942
858	0.1600825967	0.9502103787
859	0.1599976269	0.9502103787
860	0.1599066481	0.9503856942
861	0.1598161317	0.950911641
862	0.1597558553	0.950911641
863	0.1596185375	0.9512622721
864	0.1595152986	0.9510869565
865	0.15944374	0.9510869565
866	0.1593292875	0.9510869565
867	0.1592276622	0.950911641
868	0.1591748438	0.9512622721
869	0.1591132704	0.9512622721
